section,item,value,note
프로젝트 기본 정보,프로젝트명,사내 정책 질의응답 도우미,약관 및 업무 매뉴얼 기반 RAG 서비스
프로젝트 기본 정보,서비스 유형,RAG형,검색 근거 기반 답변 제공
프로젝트 기본 정보,대상 사용자,고객센터 상담사,내부 상담 지원용
프로젝트 기본 정보,대상 도메인,보험 약관 및 업무 매뉴얼,FAQ 일부 포함
프로젝트 기본 정보,운영 환경,스테이징,파일럿 검증 단계
프로젝트 기본 정보,담당 조직,AI플랫폼팀,고객지원실 협업
프로젝트 기본 정보,문서 소유자,김AI,주간 업데이트 담당
프로젝트 기본 정보,목표 일정,2026-05-15,파일럿 종료 목표
적용 범위 정의,적용할 체크리스트 문서,01_ai_rag_service_checklist.md,기준 문서 전체 적용
적용 범위 정의,제외할 항목,모델 파인튜닝,1차 파일럿 범위 제외
적용 범위 정의,제외 사유,기초 RAG 품질 안정화가 우선,운영 데이터 축적 전 단계
적용 범위 정의,필수 통과 항목,정답률/근거일치율/정책 준수,배포 게이트 반영 예정
적용 범위 정의,추후 개선 항목,멀티턴 최적화 및 출처 UX 개선,2차 릴리즈 범위
품질 목표,정확성 목표,정답률 90% 이상,검증셋 기준
품질 목표,요약 품질 목표,핵심 조건 누락률 5% 이하,긴 약관 질의 포함
품질 목표,검색 품질 목표,Top-3 정답 문서 회수율 95% 이상,하이브리드 검색 기준
품질 목표,응답 시간 목표,P95 6초 이하,스테이징 부하 테스트 기준
품질 목표,실패율 허용 기준,치명 오답 1% 이하,정책 위반 포함
품질 목표,보안 및 정책 준수 기준,민감정보 노출 0건,권한 미보유 문서 응답 금지
준비 자료 점검,요구사항 문서 확보 여부,확보,PRD v1.3 정리 완료
준비 자료 점검,평가 데이터셋 확보 여부,부분 확보,검증셋 120건 구축 완료
준비 자료 점검,정책 기준서 확보 여부,확보,보안/답변 정책 문서 수령
준비 자료 점검,운영 절차 문서 확보 여부,부분 확보,장애 대응 문서 보완 필요
준비 자료 점검,기준 응답 또는 기대 결과 정의 여부,확보,핵심 시나리오 골든 답안 작성
운영 환경 및 도구 점검,모델/프롬프트 버전 관리 체계,Git 태그 및 변경 로그 사용,배포 버전과 연결
운영 환경 및 도구 점검,검색 인덱스 또는 지식베이스 관리 체계,문서 버전별 재색인 정책 수립,주 2회 동기화
운영 환경 및 도구 점검,로그 수집 및 모니터링 도구,MLflow + Grafana,지표 대시보드 구성 예정
운영 환경 및 도구 점검,이슈 관리 도구,Jira,품질 이슈 라벨 분리
운영 환경 및 도구 점검,협업 문서 도구,Confluence,회의록 및 주간 리포트 관리
운영 환경 및 도구 점검,접근 권한 및 비식별 처리 체계,RBAC 및 개인정보 마스킹 적용,운영 반영 전 점검 필요
평가 및 실행 계획,파일럿 평가 일정,2026-04-15 ~ 2026-04-26,2주간 검증
평가 및 실행 계획,정기 점검 주기,주간,매주 수요일 리뷰
평가 및 실행 계획,담당자,이PM / 박ML / 최QA,역할 분담 완료
평가 및 실행 계획,증빙 자료 저장 위치,docs/records 및 data/evaluation,결과 문서와 데이터 분리 저장
평가 및 실행 계획,개선 과제 관리 방식,프로젝트 트래커 + 주간 로그,우선순위 기준 운영
배포 전 최종 확인,주요 실패 시나리오 점검 완료 여부,미완료,생성 실패 케이스 추가 수집 필요
배포 전 최종 확인,금지 응답 및 정책 위반 점검 완료 여부,진행중,금지 응답 테스트셋 보강 중
배포 전 최종 확인,운영 모니터링 대시보드 확인 여부,진행중,에러율 패널 추가 예정
배포 전 최종 확인,장애 대응 및 롤백 절차 확인 여부,미완료,Runbook 초안 작성 필요
배포 전 최종 확인,승인자 검토 완료 여부,미완료,파일럿 결과 리뷰 후 승인 예정
